date,workerid,amount
Thu Jun 04 23:15:38 CEST 2015,A3GVLVYMGWOSN4,0.8
,total paid to workers:,=SUM(c2:c2)
,10% paid to Amazon:,=.1*c3
,total:,=SUM(c3:c4
